,i_roc,p_roc
visa-candle,90.81,94.22
visa-capsules,75.03,93.31
visa-cashew,95.32,98.88
visa-chewinggum,97.32,99.24
visa-fryum,95.74,95.65
visa-macaroni1,84.60,97.35
visa-macaroni2,68.49,95.24
visa-pcb1,72.03,93.71
visa-pcb2,71.65,94.64
visa-pcb3,81.16,95.60
visa-pcb4,91.72,94.55
visa-pipe_fryum,98.36,99.02
