,i_roc,p_roc
mvtec-carpet,100.00,99.55
mvtec-grid,98.16,97.94
mvtec-leather,100.00,99.29
mvtec-tile,100.00,96.23
mvtec-wood,99.04,95.49
mvtec-bottle,99.60,97.81
mvtec-cable,89.15,93.75
mvtec-capsule,70.08,94.70
mvtec-hazelnut,97.29,98.31
mvtec-metal_nut,99.76,94.32
mvtec-pill,92.23,94.48
mvtec-screw,59.89,92.39
mvtec-toothbrush,99.17,98.99
mvtec-transistor,92.00,87.83
mvtec-zipper,95.61,96.12
