,i_roc,p_roc
visa-candle,88.33,95.37
visa-capsules,80.65,95.22
visa-cashew,95.22,99.01
visa-chewinggum,96.24,99.16
visa-fryum,93.18,95.47
visa-macaroni1,81.74,97.43
visa-macaroni2,78.63,95.75
visa-pcb1,89.13,97.74
visa-pcb2,68.30,91.08
visa-pcb3,79.84,95.94
visa-pcb4,97.00,95.83
visa-pipe_fryum,98.66,98.97
