,i_roc,p_roc
mvtec-carpet,100.00,99.53
mvtec-grid,97.83,97.16
mvtec-leather,100.00,99.30
mvtec-tile,99.93,96.04
mvtec-wood,99.04,95.42
mvtec-bottle,99.68,97.62
mvtec-cable,93.22,93.67
mvtec-capsule,90.63,97.30
mvtec-hazelnut,94.71,98.64
mvtec-metal_nut,97.56,90.74
mvtec-pill,93.21,92.82
mvtec-screw,58.04,92.82
mvtec-toothbrush,91.94,98.80
mvtec-transistor,85.67,82.07
mvtec-zipper,88.73,95.44
