,i_roc,p_roc
mvtec-carpet,100.00,99.54
mvtec-grid,99.42,98.35
mvtec-leather,100.00,99.34
mvtec-tile,100.00,96.32
mvtec-wood,99.47,94.87
mvtec-bottle,99.44,0.00
mvtec-cable,93.05,0.00
mvtec-capsule,87.99,0.00
mvtec-hazelnut,99.64,0.00
mvtec-metal_nut,100.00,0.00
mvtec-pill,91.93,0.00
mvtec-screw,74.67,94.66
mvtec-toothbrush,99.44,98.99
mvtec-transistor,95.38,89.45
mvtec-zipper,97.24,96.45
